0	1157376	3772	视频
0	27146	249	策略游戏
0	1163919	156	视频
0	29071	51	赚钱
0	1134631	48	社交
0	1150973	46	社交
0	1153807	38	社交
0	1160523	29	社交
0	27145	22	策略游戏
0	1116468	20	视频
1	1157376	2291	视频
1	27146	132	策略游戏
1	1163919	89	视频
1	1153807	21	社交
1	1150973	19	社交
1	1134631	18	社交
1	29071	16	赚钱
1	1116468	12	视频
1	1156675	11	视频
1	1160523	11	社交
2	1157376	1347	视频
2	27146	78	策略游戏
2	1163919	59	视频
2	1134631	14	社交
2	29071	11	赚钱
2	1153807	10	社交
2	1116077	9	手机应用
2	1152063	9	视频
2	1150973	8	社交
2	48124	7	牌类游戏
3	1157376	971	视频
3	1163919	44	视频
3	27146	38	策略游戏
3	1134631	10	社交
3	1150973	7	社交
3	1116468	6	视频
3	1115991	5	手机应用
3	1051723	5	视频
3	48124	5	牌类游戏
3	43562	4	益智游戏
4	1157376	811	视频
4	1163919	51	视频
4	27146	34	策略游戏
4	29071	9	赚钱
4	1116468	9	视频
4	1150973	7	社交
4	1134631	6	社交
4	1113164	5	休闲游戏
4	1116077	5	手机应用
4	1058289	5	手机应用
5	1157376	1118	视频
5	1163919	67	视频
5	27146	41	策略游戏
5	29071	26	赚钱
5	1134631	18	社交
5	1153807	17	社交
5	1150973	15	社交
5	1116468	10	视频
5	1116077	8	手机应用
5	1160523	7	社交
6	1157376	1843	视频
6	1163919	136	视频
6	27146	86	策略游戏
6	29071	57	赚钱
6	1134631	48	社交
6	1153807	48	社交
6	1150973	43	社交
6	1116077	25	手机应用
6	28320	16	棋类游戏
6	48124	15	牌类游戏
7	1157376	2269	视频
7	27146	175	策略游戏
7	1163919	157	视频
7	29071	54	赚钱
7	1134631	45	社交
7	1150973	42	社交
7	1153807	38	社交
7	1116077	26	手机应用
7	1116468	26	视频
7	28320	22	棋类游戏
8	1157376	2171	视频
8	27146	233	策略游戏
8	1163919	171	视频
8	29071	43	赚钱
8	1134631	38	社交
8	1150973	31	社交
8	1116468	29	视频
8	1160523	28	社交
8	28320	27	棋类游戏
8	1113164	26	休闲游戏
9	1157376	2140	视频
9	27146	262	策略游戏
9	1163919	169	视频
9	1150973	47	社交
9	29071	46	赚钱
9	1134631	41	社交
